UNIT REFERENCE,,,TALENT SLOT,,,,MECHANICAL EFFECT,,,,OBSERVABLE SIGNATURES,,,,TRACKING,,
franky_and_stein,Franky & Stein,,2,L,11,Chemical Treatment,"When merging, Franky has a 100% chance to cleanse a negative effect from a random Franky on the field.",,,12,,,,Yes,Complete,In-game screenshot,2026-04-07
franky_and_stein,Franky & Stein,,2,R,11,Spare Parts,Killing a small summoned monster on the opponent's field has a 35% chance to grant a bolt to Stein.,,,12,,,,Yes,Complete,In-game screenshot,2026-04-07
franky_and_stein,Franky & Stein,,3,L,13,Signal Boost,A toxic or charged Franky of merge rank 4 or above increases the rate of sending signals to Stein by 40%.,,,14,,,,Yes,Complete,In-game screenshot,2026-04-07
franky_and_stein,Franky & Stein,,3,R,13,Serious Ducky,"Merging a toxic or charged Franky summons 2 armored big monsters. The armor of these monsters absorbs 60% of damage. In Co-Op, damage is not absorbed.",,,14,,,,Yes,Complete,In-game screenshot,2026-04-07
franky_and_stein,Franky & Stein,,4,Fixed,15,Steininator,"After receiving 60 bolts, Stein increases his chance to deal critical damage by 4%, and the movement-induced damage increases by 100%. Upon receiving 100 bolts, Stein gains his final form, increasing the damage he deals by 50%.",,,15,,,,No,Complete,In-game screenshot,2026-04-07
frost,Frost,,1,L,9,Icy Breath,"With a 50% chance, the Frost will appear with a Mark of Ice. Merging a Frost of this type with another unit reduces the amount of mana the opponent is receiving by 60% for 4s. In Co-Op and single player modes, increases the amount of mana the player receives.",,,10,,,,Yes,Complete,In-game screenshot,2026-04-07
frost,Frost,,1,R,9,Chains of Ice,"There's a 50% chance of Frost appearing with the Mark of Ice. Merging this Frost with another unit will freeze all monsters on the path for 3 sec, and apply 8 frostbite charges. Freezing will prevent bosses and mini bosses using abilities.",,,10,,,,Yes,Complete,In-game screenshot,2026-04-07
frost,Frost,,2,L,11,Dire Chill,"Frost with the Mark of Ice with a 4 merge rank and higher, has a 10% chance of using merge effects when a blizzard appears on its half of the field.",,,12,,,,Yes,Complete,In-game screenshot,2026-04-07
frost,Frost,,2,R,11,Cold Blood,The duration of the Frost's merge effects is extended by 33%.,,,12,,,,Yes,Complete,In-game screenshot,2026-04-07
frost,Frost,,3,L,13,Icewalk,"Merging a Frost with the Mark of Ice with another unit covers the opponent's path with ice for 5s, destroying all traps on the path and increasing the speed of the monsters on the ice by 25%. Does not work in Co-Op and single player modes.",,,14,,,,Yes,Complete,In-game screenshot,2026-04-07
frost,Frost,,3,R,13,Ice Shield,"Merging Frost with a Mark of Ice protects the opponent's monsters from 40% of damage for 5s. In Co-Op and single-player modes, it damages armor by 40%.",,,14,,,,Yes,Complete,In-game screenshot,2026-04-07
frost,Frost,,4,Fixed,15,Frost King,"One of the Frosts will become the Frost King and receive the Mark of Ice after 10s. Every 10s, the Frost King freezes an opponent's unit for 5s. Every 3 merge ranks increase the number of units by 1. In Co-Op and single player modes, it freezes monsters except for bosses.",,,15,,,,No,Complete,In-game screenshot,2026-04-07
genie,Genie,,1,L,9,Magical Sultanate,"Two of the Genies on the field are always Genie Sultans. Increasing the damage dealt by neighboring Genies by 5%, and by the additional 5% for every merge rank. A Genie Sultan participating in forming a line grants an additional charge.",,,10,,,,Yes,Complete,In-game screenshot,2026-04-07
genie,Genie,,1,R,9,Ifrit's Fire,"All the player's Genies turn into Ifrits. Their damage is increased by 45%, and vortexes reduce their targets' armor by 30%. An Ifrit that is at the end of a line has a 50% chance to burst into flames and burn for 6 sec, giving a buff charge for every merge rank.",,,10,,,,Yes,Needs Review,In-game screenshot,2026-04-07
genie,Genie,,2,L,11,Lamp Prison,"At the start of the game, the Genie creates an enchanted tile on the player's field. Using a Mana Power-up turns a unit on that tile into a Genie.",,,12,,,,Yes,Complete,In-game screenshot,2026-04-07
genie,Genie,,2,R,11,Spiritual Cleansing,Using a Mana Power-up cleanses 3 Genies from negative effects with a 50% chance per each Genie.,,,12,,,,Yes,Complete,In-game screenshot,2026-04-07
genie,Genie,,3,L,13,Ethereal Boost,Vortex damage increased by 35%.,,,14,,,,Yes,Complete,In-game screenshot,2026-04-07
genie,Genie,,3,R,13,Reckless Wish,Damage dealt by activated Genies' basic attacks is increased by 45%.,,,14,,,,Yes,Needs Review,In-game screenshot,2026-04-07
genie,Genie,,4,Fixed,15,Magic Knockout,"Now, Mana Power-ups can be used twice before their cooldown is triggered. After acquiring 100 charges, Magic Fists will deal additional damage equal to 5% of the target's current health. At 200 charges, the Genie's critical attack chance increases by 5%.",,,15,,,,No,Complete,In-game screenshot,2026-04-07
grindstone,Grindstone,,1,L,9,Searing Sparks,"When a neighboring unit is attacking, there is a 4% chance that the Grindstone will spawn sparks that hit a random monster and do area damage. The damage is 200% of the Grindstone's damage.",,,10,,,,Yes,Complete,In-game screenshot,2026-04-07
grindstone,Grindstone,,1,R,9,Fiery Sparks,"Every time a unit next to the Grindstone attacks, the Grindstone spawns a spark that does 8% of its damage to a single target. When units next to the Grindstone merge or increase their merge rank, the damage done by the Grindstone's sparks increases by 25%.",,,10,,,,Yes,Complete,In-game screenshot,2026-04-07
grindstone,Grindstone,,2,L,11,Hellgrinder,There is a 50% chance that spawning sparks will generate one more spark.,,,12,,,,Yes,Complete,In-game screenshot,2026-04-07
grindstone,Grindstone,,2,R,11,Multigrinder,"The damage dealt by the Grindstone to multiple targets is no longer reduced, leaving it at 100% of the damage it deals to single targets.",,,12,,,,Yes,Complete,In-game screenshot,2026-04-07
grindstone,Grindstone,,3,L,13,Unstable Overheat,"When a Grindstone is merged or increases its merge rank, all Grindstones overheat to increase their damage by 10% for 10 seconds. With each transition into the overheated state, the effect duration increases by 2 seconds, while the damage bonus increases by 1.5%.",,,14,,,,Yes,Complete,In-game screenshot,2026-04-07
grindstone,Grindstone,,3,R,13,Triple Overheat,"When 3 Grindstones are next to each other, they overheat and increase the damage they deal by 30%.",,,14,,,,Yes,Complete,In-game screenshot,2026-04-07
grindstone,Grindstone,,4,Fixed,15,Tempered Steel,The Grindstone's critical chance is increased by 1% for every merge rank.,,,15,,,,No,Complete,In-game screenshot,2026-04-07
gunslinger,Gunslinger,,1,L,9,Mariachi,Ghost Shot increases critical damage against the target by 20%.,,,10,,,,Yes,Complete,In-game screenshot,2026-04-07
gunslinger,Gunslinger,,1,R,9,Desperado,"The Gunslinger deals area damage. Moving Gunslingers switches them into the Shootout mode for 5s. Ghost Shots do not destroy armor, but the Gunslingers' damage in the Shootout mode is increased by 300%. When moving a Gunslinger of rank 2+ into a special tile, he loses 1 rank and for each of his ranks, gains x2 charges that increase the damage from basic attacks by 1%.",,,10,,,,Yes,Complete,In-game screenshot,2026-04-07
gunslinger,Gunslinger,,2,L,11,Quick Bandage,"After moving, the Gunslinger has a 40% chance of clearing any negative effect.",,,12,,,,Yes,Complete,In-game screenshot,2026-04-07
gunslinger,Gunslinger,,2,R,11,Lucky Shot,Monsters under the effect of the Ghost Shot bring 20% more mana.,,,12,,,,Yes,Complete,In-game screenshot,2026-04-07
gunslinger,Gunslinger,,3,L,13,Ghost Link,"The Ghost Shot links targets together, transferring 5% of the total damage received between them. Damage from area attacks will not be transferred more than once.",,,14,,,,Yes,Complete,In-game screenshot,2026-04-07
gunslinger,Gunslinger,,3,R,13,High Charisma,Units adjacent to the Gunslinger receive a 8% attack speed increase.,,,14,,,,Yes,Complete,In-game screenshot,2026-04-07
gunslinger,Gunslinger,,4,Fixed,15,Bullseye,"The movement cooldown time is reduced to 5s, and monsters under the effect of armor destruction from Ghost Shot have an extra 3% chance of receiving critical damage. In the Shootout mode, all damage dealt by Gunslingers is increased by 30%.",,,15,,,,No,Complete,In-game screenshot,2026-04-07
harlequin,Harlequin,,1,L,9,Stage Objective,"Every copying by the Harlequin gives you a playing card. If a specified amount of cards is accumulated by the end of a wave, the 20% bonus to the damage of all units on the field, and the 10% bonus to the mana received for the next wave, are activated for all units on the field. After receiving 5 cards, the Harlequin exchanges them for mana equal to 100% of the summoning cost.",,,10,,,,Yes,Needs Review,In-game screenshot,2026-04-07
harlequin,Harlequin,,1,R,9,Changeling's Tricks,"Every copying by the Harlequin gives you a playing card. The copy created by the Harlequin reverts to the Harlequin form after 20s. After receiving 5 cards, the Harlequin exchanges them for mana equal to 100% of the summoning cost.",,,10,,,,Yes,Complete,In-game screenshot,2026-04-07
harlequin,Harlequin,,2,L,11,Art of Imitation,"If there are no units with the Harlequin's weakening, or there is more than 4 of them on the field, all units receive a 20% bonus to critical damage.",,,12,,,,Yes,Complete,In-game screenshot,2026-04-07
harlequin,Harlequin,,2,R,11,Masterful Performance,"With a 40% chance, when receiving a card, the Harlequin will give one more.",,,12,,,,Yes,Complete,In-game screenshot,2026-04-07
harlequin,Harlequin,,3,L,13,Jester's Smack,"When copying, the Harlequin smacks a random monster with a hammer, dealing damage equivalent to 10% of the target's health to all monsters around the target.",,,14,,,,Yes,Complete,In-game screenshot,2026-04-07
harlequin,Harlequin,,3,R,13,Jack in the Box,"When a unit is merged while being weakened by the Harlequin, a trap appears on the path. When a monster comes in contact with the trap, a Jack will spring out of it, lowering the monsters' armor by 75% and blocking them from using abilities for 1.5s. Jack's effects do not work on the same monster twice. The trap exists for 15s and vanishes when activated.",,,14,,,,Yes,Complete,In-game screenshot,2026-04-07
harlequin,Harlequin,,4,Fixed,15,Copy & Paste,"The Harlequin may now copy units of his own rank or lower. When copying, his rank is lowered to that of the unit being copied.",,,15,,,,No,Complete,In-game screenshot,2026-04-07
hunter,Hunter,,1,L,9,Hunting Season,"Killing a boss or mini boss gets you a trophy and summons a fast boar to your opponent's field. Each trophy increases the boar's health by 4%. When the Hunter kills a common monster, there is also a 8% chance of summoning the boar. Does not work in Co-Op and single player modes.",,,10,,,,Yes,Complete,In-game screenshot,2026-04-07
hunter,Hunter,,1,R,9,Large Prey,"When a Hunter kills a boss or a mini boss, or with a 5% chance when he kills a common monster, a trophy is earned, increasing this unit's damage by 4%. The damage bonus after 60 trophies is reduced to 0.5%. When attacking, has a 7% chance of firing an acorn at a random target and inflicting increased damage.",,,10,,,,Yes,Complete,In-game screenshot,2026-04-07
hunter,Hunter,,2,L,11,Poaching,Moves to the next target every 15 shots.,,,12,,,,Yes,Complete,In-game screenshot,2026-04-07
hunter,Hunter,,2,R,11,Sudden Shot,Has a 50% chance to also deal 150% more damage with the first shot.,,,12,,,,Yes,Complete,In-game screenshot,2026-04-07
hunter,Hunter,,3,L,13,Buckshot,Hunters at merge rank 3 or higher deal 50% damage in a small radius around the target.,,,14,,,,Yes,Complete,In-game screenshot,2026-04-07
hunter,Hunter,,3,R,13,Keen Eye,Hunters at merge rank 3 or higher get an additional 10% critical damage chance.,,,14,,,,Yes,Complete,In-game screenshot,2026-04-07
hunter,Hunter,,4,Fixed,15,Wild Hunt,Killing a boss or mini boss has a 20% chance of increasing the merge rank of one Hunter.,,,15,,,,No,Complete,In-game screenshot,2026-04-07
inquisitor,Inquisitor,,1,L,9,Knight of Light,"Instead of an Inquisitor, Knights of Light appear on the field. Knights of Light receive a 3.5% damage increase for each boss killed. Additionally, merging any Inquisitor activates Knights of Light for 10 seconds.",,,10,,,,Yes,Complete,In-game screenshot,2026-04-07
inquisitor,Inquisitor,,1,R,9,Knight of Darkness,"The first Inquisitor on the field will appear as a Knight of Darkness. A Knight of Darkness is always active and steals a merge rank from other Inquisitors on the field every 12 seconds, increasing its own damage by 6% for each rank absorbed. The bonus is reduced by 3% after you achieve 30 rank absorptions.",,,10,,,,Yes,Complete,In-game screenshot,2026-04-07
inquisitor,Inquisitor,,2,L,11,Purification,"When Inquisitors activate, they have a 50% chance to remove negative effects from Knights. Activating them also increases their speed by 10% for 10 sec.",,,12,,,,Yes,Complete,In-game screenshot,2026-04-07
inquisitor,Inquisitor,,2,R,11,Shield of Faith,"Knights appear on the field with a shield that protects them against one negative effect. If there are no other Inquisitors on the field, the Knight will restore her shield in 3.5 seconds.",,,12,,,,Yes,Complete,In-game screenshot,2026-04-07
inquisitor,Inquisitor,,3,L,13,Ronin,"If a Knight is alone on the field, her maximum damage limit increases to 1100%.",,,14,,,,Yes,Complete,In-game screenshot,2026-04-07
inquisitor,Inquisitor,,3,R,13,Unity,"If there are 4+ Inquisitors on the field, their damage increases by 20%. If there are 7+ Inquisitors, their critical damage also increases by 35%. If there are 10+ Inquisitors, their critical chance also increases by 10%.",,,14,,,,Yes,Complete,In-game screenshot,2026-04-07
inquisitor,Inquisitor,,4,Fixed,15,Hammer of Faith,"When attacking, active Knights have a 3% chance to summon a Hammer of Faith that stuns the target for 4 sec and deals 777% damage. Once stunned, a target cannot be stunned again.",,,15,,,,No,Complete,In-game screenshot,2026-04-07
knight_statue,Knight Statue,,1,L,9,Sharpened Spear,"The Statue boosts affect all units in the same row (vertical or horizontal), additionally increasing their damage for each appearance of another Statue in the row by 1.2% up to 30 times, and then by 0.3%. The statue is active if there are no other Statues in the row, regardless of the number of Statues on the field.",,,10,,,,Yes,Complete,In-game screenshot,2026-04-07
knight_statue,Knight Statue,,1,R,9,Covenant of Veterans,"Each merge and increase in merge rank near a Statue increases the damage of its neighbors by 1.2% up to 30 times, and then by 0.3%.",,,10,,,,Yes,Complete,In-game screenshot,2026-04-07
knight_statue,Knight Statue,,2,L,11,Barrier,"The Knight Statue appears with a shield against negative effects. The shield has 2 charges. Once destroyed, the shield regenerates in 30s.",,,12,,,,Yes,Complete,In-game screenshot,2026-04-07
knight_statue,Knight Statue,,2,R,11,Roll Call,"When one Knight Statue gets a bonus damage charge, other Statues have a 15% chance of receiving that bonus as well. This chance is unique to each statue.",,,12,,,,Yes,Complete,In-game screenshot,2026-04-07
knight_statue,Knight Statue,,3,L,13,Hold the Line!,"If all of Knight Statue's neighbors are the same unit, then, in addition to attack speed, it will also increase their critical damage by 15%.",,,14,,,,Yes,Complete,In-game screenshot,2026-04-07
knight_statue,Knight Statue,,3,R,13,Stone Legion,"In addition to attack speed, Knight Statue increases unit critical damage by 1% for each merge rank of Statues on the battlefield.",,,14,,,,Yes,Complete,In-game screenshot,2026-04-07
knight_statue,Knight Statue,,4,Fixed,15,Soul of a Warrior,"While active, Knight Statue performs an area attack every 5s. The attack deals 50% of its critical damage value per merge rank and reduces monster armor by 25%. Its attack interval goes down 1s for every unit neighboring it.",,,15,,,,No,Complete,In-game screenshot,2026-04-07
kobold,Kobold,,1,L,9,Motherlode,"After producing ore, the Mine has a 50% chance to become a Rich Mine. This kind of mine gives 3 ore per rank.",,,10,,,,Yes,Complete,In-game screenshot,2026-04-07
kobold,Kobold,,1,R,9,Energy of the Deeps,"Kobolds that are in the Mine tiles vanish only after using the Mana Power-up. The amount of ore received depends on their merge ranks — respectively 1, 4, 9, 16, 25, 36, 49. Mana Power-up only moves the Mines that have no Kobolds in them.",,,10,,,,Yes,Complete,In-game screenshot,2026-04-07
kobold,Kobold,,2,L,11,New Forces,"When receiving ore, there is a 40% chance of a Kobold of merge rank 1 spawning in a random tile.",,,12,,,,Yes,Complete,In-game screenshot,2026-04-07
kobold,Kobold,,2,R,11,Laborer's Reward,"When a Kobold's merge rank increases, there is a 50% chance to increase the merge rank of a random Kobold of the lowest merge rank on the field.",,,12,,,,Yes,Complete,In-game screenshot,2026-04-07
kobold,Kobold,,3,L,13,Magic Pick,"When a Kobold is merged or absorbed, he throws a pick at the first monster on the path. All monsters in the area where the pick lands receive 30% extra critical damage. The effect does not stack.",,,14,,,,Yes,Complete,In-game screenshot,2026-04-07
kobold,Kobold,,3,R,13,Miner's Light,The critical damage of all units on the field is increased by 3.5% for each merge rank of the Kobold that has the highest merge rank. Only the 1 Kobold may give this bonus. Moving the mine via the Mana Power-up does not affect at least one Kobold with the highest merge rank.,,,14,,,,Yes,Complete,In-game screenshot,2026-04-07
kobold,Kobold,,4,Fixed,15,Workhorse,"After reaching the maximum amount of ore, 1 mine turns into a Diamond Mine. After ore is gathered in the Diamond Mine, all units on the field have their chance of dealing critical damage increased by 2% for 30 sec.",,,15,,,,No,Complete,In-game screenshot,2026-04-07
magic_cauldron,Magic Cauldron,,1,L,9,Mana Elixir,"As the Cauldron appears, it produces an elixir that gives 20 mana to a random unit on the field. If you get 3 elixirs into the Cauldron, it will start generating mana at a faster rate for 10 secs.",,,10,,,,Yes,Complete,In-game screenshot,2026-04-07
magic_cauldron,Magic Cauldron,,1,R,9,Rage Elixir,"As the Cauldron appears, it produces an elixir that increases a unit's damage by 25% for 15 sec. If you get 3 elixirs into the Cauldron, it gives a double bonus to neighboring units for 20 secs.",,,10,,,,Yes,Complete,In-game screenshot,2026-04-07
magic_cauldron,Magic Cauldron,,2,L,11,Cooling Potion,"If the Cauldron is placed on the field, and the elixir gets into it, a cooling potion is released that inflicts 600 damage (depending on merge rank) and slows monsters down by 25%.",,,12,,,,Yes,Complete,In-game screenshot,2026-04-07
magic_cauldron,Magic Cauldron,,2,R,11,Magic Potion,"If the Cauldron is placed on the field, and the elixir gets into it, a magic potion is produced that inflicts 600 damage (depending on merge rank) and increases mana for killing monsters by 6.",,,12,,,,Yes,Complete,In-game screenshot,2026-04-07
magic_cauldron,Magic Cauldron,,3,L,13,Ricochet,Elixir getting into the cauldron with a 30% chance releases another elixir to a random unit on the field.,,,14,,,,Yes,Complete,In-game screenshot,2026-04-07
magic_cauldron,Magic Cauldron,,3,R,13,Overflow,"When generating mana, the cauldron has a 5% chance of creating an elixir.",,,14,,,,Yes,Complete,In-game screenshot,2026-04-07
magic_cauldron,Magic Cauldron,,4,Fixed,15,Growth Potion,"With a 5% chance, the elixir created by the Cauldron will increase the merge rank of the unit by one. Besides, merging Cauldrons produces elixirs.",,,15,,,,No,Complete,In-game screenshot,2026-04-07
meteor,Meteor,,1,L,9,Burning Comet,"There's a 45% chance of a Meteor appearing on the battlefield with a Flame Orb. When merging, this Meteor summons a comet that instantly kills small monsters in a small area and damages big monsters for 20% of their health per merge rank.",,,10,,,,Yes,Complete,In-game screenshot,2026-04-07
meteor,Meteor,,1,R,9,Fiery Bolide,A Meteor will have a 45% chance to appear on the field with a Flame Orb. Such a meteor will cause a bolide to appear when it merges. Killing monsters with a Bolide grants a magma charge that increases the Meteor's damage by 2.2% and the Meteorite damage by 1.5% for each monster killed with the Bolide. Grants x5 magma charges for bosses and mini bosses. Maximum 700 charges.,,,10,,,,Yes,Complete,In-game screenshot,2026-04-07
meteor,Meteor,,2,L,11,Falling Star,"The Comet and the Bolide set monsters on fire, dealing 10% of the Meteorite damage 1 times per second and increasing the critical damage received by monsters by 20%.",,,12,,,,Yes,Complete,In-game screenshot,2026-04-07
meteor,Meteor,,2,R,11,Overheat,When a Meteor appears with a Flame Orb there's a 20% chance of giving another Flame Orb to another random Meteor.,,,12,,,,Yes,Complete,In-game screenshot,2026-04-07
meteor,Meteor,,3,L,13,Shards of Destruction,"A meteor of merge rank 3+ possessing a Flame Orb, when attacking, has a 10% chance to cause an explosion that deals 25% of the Meteorite's damage in a small area around the target. The chance to deal critical damage with this explosion is 20%.",,,14,,,,Yes,Complete,In-game screenshot,2026-04-07
meteor,Meteor,,3,R,13,Magma Surge,"Causes a second explosion in the spot where a Comet or a Bolide has landed, dealing damage equal to 15% of the monsters' missing health.",,,14,,,,Yes,Complete,In-game screenshot,2026-04-07
meteor,Meteor,,4,Fixed,15,Apocalypse,"When merged, the Meteor has a 20% chance to summon an additional Meteorite, Comet or Bolide. Merging Meteors with Flame Orbs also gives a 15% chance to grant an extra Flame Orb to another random Meteor.",,,15,,,,No,Complete,In-game screenshot,2026-04-07
minotaur,Minotaur,,1,L,9,Berserker Might,"When the Minotaur is merged, appears on the field or increases rank, a Fury charge is added, and all Minotaurs go into the Berserker mode for 15s. While in the Berserker mode, the damage done by the earthquakes is increased by 75%, and for extra 3% per each Fury charge (or for 0.5% after 300 charges).",,,10,,,,Yes,Complete,In-game screenshot,2026-04-07
minotaur,Minotaur,,1,R,9,Berserker Madness,"When the Minotaur is merged, appears on the field or increases rank, a Fury charge is added. Whenever a Fury charge is added or a boss appears, all Minotaurs go into the Berserker mode for 20s, which increases attack speed by 400%, while also granting area attack and bonus damage equal to 100% of the earthquake's damage. Fury charges increase the damage dealt by 1.25% (or by 0.25% after 300 charges).",,,10,,,,Yes,Complete,In-game screenshot,2026-04-07
minotaur,Minotaur,,2,L,11,Empire's Fall,"When the Minotaur appears on the field, he stuns all the monsters on his path for 2s. Once a target has been stunned, it may not be stunned again.",,,12,,,,Yes,Complete,In-game screenshot,2026-04-07
minotaur,Minotaur,,2,R,11,Ancient Rampage,"When the Minotaur appears, he stuns 3 units on the opponent's field for 3s. Does not work in Co-Op and single player modes.",,,12,,,,Yes,Complete,In-game screenshot,2026-04-07
minotaur,Minotaur,,3,L,13,Crack,"The Earthquake damage leaves a Crack effect on the monster, which increases the damage inflicted by the earthquake for each of these effects by 5%. Maximum damage cannot exceed 300%.",,,14,,,,Yes,Complete,In-game screenshot,2026-04-07
minotaur,Minotaur,,3,R,13,Growing Power,"With each main attack, the damage of the Minotaur and his summoned Earthquakes is increased by 10%. Maximum damage cannot exceed 400%. Bonus damage is reset when the target is changed.",,,14,,,,Yes,Complete,In-game screenshot,2026-04-07
minotaur,Minotaur,,4,Fixed,15,Critical Fury,The Minotaur's critical damage chance is increased for each Minotaur on the field by 0.4%. Additionally increases critical chance in Berserker mode by 4%.,,,15,,,,No,Complete,In-game screenshot,2026-04-07
monk,Monk,,1,L,9,Blessing,"Monks appear on the battlefield with an orb of Power. Every orb of power increases a Monk's damage by 6%. When such a Monk is merged or absorbed, all of his orbs are transferred to a random Monk positioned in the intersection. If none are found, then the orbs will go to any other Monk.",,,10,,,,Yes,Complete,In-game screenshot,2026-04-07
monk,Monk,,1,R,9,Equilibrium,"A random Monk periodically receives a balance sphere. Each time a unit with this sphere merges or ranks up, all Monks increase their damage by 9%; after 50 the bonus is reduced to 2%. After a Monk moves or merges, if a unit with a balance sphere does not merge as well within 10%, the sphere disappears. A Monk at an intersection of lines automatically absorbs the sphere.",,,10,,,,Yes,Complete,In-game screenshot,2026-04-07
monk,Monk,,2,L,11,Tranquility,Activating a boost will remove negative effects from Monks in intersections.,,,12,,,,Yes,Complete,In-game screenshot,2026-04-07
monk,Monk,,2,R,11,Illumination,Activating a buff has a 50% chance to increase the rank of a random Monk.,,,12,,,,Yes,Complete,In-game screenshot,2026-04-07
monk,Monk,,3,L,13,Rebirth,"During each Power-up, the first Monk merge will turn a random non-Monk unit into a Monk.",,,14,,,,Yes,Complete,In-game screenshot,2026-04-07
monk,Monk,,3,R,13,Novice,"After each buff, the first merge of a Monk summons a Monk to the battlefield from merge rank 1 to 3 and produces an additional sphere.",,,14,,,,Yes,Complete,In-game screenshot,2026-04-07
monk,Monk,,4,Fixed,15,Nirvana,Gaining a buff increases Monk's critical damage chance by 5% and increase Monk's area attack bonus at intersections to 50%.,,,15,,,,No,Complete,In-game screenshot,2026-04-07
phoenix,Phoenix,,1,L,9,Harmony of Fire,"When merging, a random Phoenix gains the Mark of Fire. Such a Phoenix, when entering active state, receives 2 times the amount of Flame Particles and, with 100% chance, 1 Charge of Awakening, before losing the Mark. After 100 Flame Particles, the Phoenix's critical damage increases by 20%.",,,10,,,,Yes,Complete,In-game screenshot,2026-04-07
phoenix,Phoenix,,1,R,9,Dance of Ashes,"No longer becomes inactive, and the way of gaining the Flame Particles is changed. Tapping the Phoenix will Immolate him and grant 4 Flame Particles per every merge rank. After 100 Flame Particles, the Phoenix's critical damage increases by 35%.",,,10,,,,Yes,Complete,In-game screenshot,2026-04-07
phoenix,Phoenix,,2,L,11,Cleansing Flame,"A random Phoenix cleanses himself of all negative effects, with a 80% chance upon becoming active, and a 100% chance upon immolating.",,,12,,,,Yes,Complete,In-game screenshot,2026-04-07
phoenix,Phoenix,,2,R,11,New Life,"Summons a Phoenix of merge rank 1 on the field, with a 30% chance upon becoming active, and a 40% chance upon immolating.",,,12,,,,Yes,Complete,In-game screenshot,2026-04-07
phoenix,Phoenix,,3,L,13,Consolidation,Upon immolating or becoming active this Phoenix increases the damage of neighbouring Phoenixes by 50% for 20s.,,,14,,,,Yes,Complete,In-game screenshot,2026-04-07
phoenix,Phoenix,,3,R,13,Outcast,"If there are no other Phoenixes next to this Phoenix, his damage is increased by 50%.",,,14,,,,Yes,Complete,In-game screenshot,2026-04-07
phoenix,Phoenix,,4,Fixed,15,Dark Phoenix,Getting 300 Flame Particles will increase the Phoenix's critical damage chance by 5%.,,,15,,,,No,Complete,In-game screenshot,2026-04-07
portal_mage,Portal Mage,,1,L,9,Portal Warp,"When teleporting, has a 8% chance of warping a monster and sending it to the opponent's path as a small warped monster. The player receives mana for killing the monster, but the opponent does not. Does not work on bosses or mini bosses. In Co-Op and single player modes, lowers the defense of the teleported monster by 20%.",,,10,,,,Yes,Complete,In-game screenshot,2026-04-07
portal_mage,Portal Mage,,1,R,9,Hard Landing,"Instead of standard area damage, all teleported monsters except for bosses and mini bosses now deal damage within range equal to 2.2% of the teleported monster's current health.",,,10,,,,Yes,Complete,In-game screenshot,2026-04-07
portal_mage,Portal Mage,,2,L,11,Empowering,Teleported or warped monsters will give 20% more mana.,,,12,,,,Yes,Complete,In-game screenshot,2026-04-07
portal_mage,Portal Mage,,2,R,11,Vulnerability,Teleported monsters take 20% more critical damage. Critical damage will be 20% less for warped monsters on the opponent's side.,,,12,,,,Yes,Complete,In-game screenshot,2026-04-07
portal_mage,Portal Mage,,3,L,13,Through Time,All teleported monsters rapidly age after the teleport: their defense decreases by 25% and their speed decreases by 30%. Warped monsters on the opponent's side become younger; their defense increases by 25% and their speed increases by 30%.,,,14,,,,Yes,Complete,In-game screenshot,2026-04-07
portal_mage,Portal Mage,,3,R,13,Portal Net,"When merging the Portal Mage, all teleported monsters fall into the portal net. 7% of all damage dealt to monsters in the net will be transferred to other connected monsters.",,,14,,,,Yes,Complete,In-game screenshot,2026-04-07
portal_mage,Portal Mage,,4,Fixed,15,Portal Healer,"When a boss or mini boss is teleported, a big Portal Healer is summoned to the opponent's side. The healer restores 2.5% of max health to monsters within a small radius every 3 sec. When the Portal Healer dies, he restores 7% of lost health to monsters. Only works in PvP mode.",,,15,,,,No,Complete,In-game screenshot,2026-04-07
priestess,Priestess,,1,L,9,Gift of the Heavens,"When she appears, there's a 45% chance of creating 2 special tiles on the field. Merging inside these tiles will grant 150 mana. This ability cannot be activated more than 2 times in 20s.",,,10,,,,Yes,Complete,In-game screenshot,2026-04-07
priestess,Priestess,,1,R,9,Holy Water,"When merging, Priestesses will throw a bottle of Holy Water at the monster on the battlefield. The bottle will leave a puddle that inflicts 200 damage per merge rank and reduces the monsters' armor by 30%. The puddle will last for 15s.",,,10,,,,Yes,Complete,In-game screenshot,2026-04-07
priestess,Priestess,,2,L,11,Prayer for Two,The death or merging of a Priestess has a 20% chance to give mana twice.,,,12,,,,Yes,Complete,In-game screenshot,2026-04-07
priestess,Priestess,,2,R,11,Morning Prayer,Gives 40 mana when placed on the field.,,,12,,,,Yes,Complete,In-game screenshot,2026-04-07
priestess,Priestess,,3,L,13,Sisters in Faith,"After receiving any mana from a Priestess, all Priestesses on the field receive a buff for 6s, which increases damage by 150% in proportion to rank and gives 50% area attack.",,,14,,,,Yes,Needs Review,In-game screenshot,2026-04-07
priestess,Priestess,,3,R,13,Power of Light,"After receiving any mana from a Priestess, all Priestesses on the field receive a buff for 6s, which increases damage by 150% in proportion to rank and gives 50% area attack. The Priestess also speeds up by 30%.",,,14,,,,Yes,Complete,In-game screenshot,2026-04-07
priestess,Priestess,,4,Fixed,15,Bolstered Faith,Receiving mana from the Priestess increases the attack speed of units on the field by 15% for 6s. The Priestess also speeds up by 30%.,,,15,,,,No,Complete,In-game screenshot,2026-04-07
