ENTITY,,,,,RATING,,,,,CONTEXT,,,,TRACKING,,
Entity ID,Display Name,Entity Type,Talent Build Code,Notes,Tier Letter (S/A/B/C/D),Numeric Score (0-10),Assumed Level,Patch Version,Date Assessed,Role in Meta,Matchup Strengths,Matchup Weaknesses,Justification / Notes,Research Status,Assessor,Last Updated
gargoyle,Gargoyle,Unit,NONE (no talents),"LOW-LEVEL estimate (no talents, level 7-9). Ceiling tier (C) = max level.",C,3.5,7-9 (no talents),35.0,April 2026,DPS — stone form proc — pre-talent,Same base mechanics but no talent bonuses,All talent-dependent strengths unavailable,Floor estimate for win prediction when unit has no talent icon visible. Fun mechanic but inconsistent. C-tier in most metas.,In Progress,AI Research,2026-04-06
reaper,Reaper,Unit,ALL (max level),MAX-LEVEL tier. Floor tier (C) = low-level estimate.,C,4.3,15 (max),35.0,April 2026,DPS — instant kill chance,Can one-shot any enemy; effective vs high-health targets,Unreliable — can backfire; low base damage when instant kill doesn't trigger,"High variance. Occasionally clutch, often underwhelming.",In Progress,AI Research,2026-04-06
reaper,Reaper,Unit,NONE (no talents),"LOW-LEVEL estimate (no talents, level 7-9). Ceiling tier (C) = max level.",C,3.5,7-9 (no talents),35.0,April 2026,DPS — instant kill chance — pre-talent,Same base mechanics but no talent bonuses,All talent-dependent strengths unavailable,"Floor estimate for win prediction when unit has no talent icon visible. High variance. Occasionally clutch, often underwhelming.",In Progress,AI Research,2026-04-06
bombardier,Bombardier,Unit,ALL (max level),MAX-LEVEL tier. Floor tier (C) = low-level estimate.,C,4.2,15 (max),35.0,April 2026,CC — stun; good synergy with AoE units,Stuns enemies; groups them for AoE carries; synergy with Inquisitor,Stun has cooldown per target; weaker at higher trophy counts vs resistant enemies,Good support. Best with AoE carries like Inquisitor and Fire Mage.,In Progress,AI Research,2026-04-06
bombardier,Bombardier,Unit,NONE (no talents),"LOW-LEVEL estimate (no talents, level 7-9). Ceiling tier (C) = max level.",C,3.5,7-9 (no talents),35.0,April 2026,CC — stun; good synergy with AoE units — pre-talent,Same base mechanics but no talent bonuses,All talent-dependent strengths unavailable,Floor estimate for win prediction when unit has no talent icon visible. Good support. Best with AoE carries like Inquisitor and Fire Mage.,In Progress,AI Research,2026-04-06
earth_elemental,Earth Elemental,Unit,ALL (max level),MAX-LEVEL tier. Floor tier (C) = low-level estimate.,C,4,15 (max),35.0,April 2026,Support — venom amplifier,Infection charges amplify venom damage; synergy with Ivy/Poisoner,Extremely niche; only valuable in venom-focused decks,C-tier niche support.,In Progress,AI Research,2026-04-06
earth_elemental,Earth Elemental,Unit,NONE (no talents),"LOW-LEVEL estimate (no talents, level 7-9). Ceiling tier (C) = max level.",C,3.5,7-9 (no talents),35.0,April 2026,Support — venom amplifier — pre-talent,Same base mechanics but no talent bonuses,All talent-dependent strengths unavailable,Floor estimate for win prediction when unit has no talent icon visible. C-tier niche support.,In Progress,AI Research,2026-04-06
ivy,Ivy,Unit,ALL (max level),MAX-LEVEL tier. Floor tier (C) = low-level estimate.,C,4,15 (max),35.0,April 2026,DPS — venom stacking,Poison stacks deal significant DoT on high-health targets,Slow ramp-up; weak vs fast low-health waves,Useful in venom stacking Co-Op. Outclassed in PvP.,In Progress,AI Research,2026-04-06
ivy,Ivy,Unit,NONE (no talents),"LOW-LEVEL estimate (no talents, level 7-9). Ceiling tier (C) = max level.",C,3.5,7-9 (no talents),35.0,April 2026,DPS — venom stacking — pre-talent,Same base mechanics but no talent bonuses,All talent-dependent strengths unavailable,Floor estimate for win prediction when unit has no talent icon visible. Useful in venom stacking Co-Op. Outclassed in PvP.,In Progress,AI Research,2026-04-06
zealot,Zealot,Unit,ALL (max level),MAX-LEVEL tier. Floor tier (C) = low-level estimate.,C,4.2,15 (max),35.0,April 2026,DPS — group scaling,Scales with Zealot count; good with Summoner for free unit synergy,Needs many Zealots on board for peak effect,Functional but not competitive at high level.,In Progress,AI Research,2026-04-06
zealot,Zealot,Unit,NONE (no talents),"LOW-LEVEL estimate (no talents, level 7-9). Ceiling tier (C) = max level.",C,3.5,7-9 (no talents),35.0,April 2026,DPS — group scaling — pre-talent,Same base mechanics but no talent bonuses,All talent-dependent strengths unavailable,Floor estimate for win prediction when unit has no talent icon visible. Functional but not competitive at high level.,In Progress,AI Research,2026-04-06
archer,Archer,Unit,ALL (max level),MAX-LEVEL tier. Floor tier (D) = low-level estimate.,D,3.5,15 (max),35.0,April 2026,DPS — basic ranged,Simple targeted DPS; consistent attack speed scaling,Completely outclassed by any legendary DPS or even Crystalmancer/Engineer,Good early game option. Replace as soon as better units available.,In Progress,AI Research,2026-04-06
archer,Archer,Unit,NONE (no talents),"LOW-LEVEL estimate (no talents, level 7-9). Ceiling tier (D) = max level.",D,3,7-9 (no talents),35.0,April 2026,DPS — basic ranged — pre-talent,Same base mechanics but no talent bonuses,All talent-dependent strengths unavailable,Floor estimate for win prediction when unit has no talent icon visible. Good early game option. Replace as soon as better units available.,In Progress,AI Research,2026-04-06
fire_mage,Fire Mage,Unit,ALL (max level),MAX-LEVEL tier. Floor tier (D) = low-level estimate.,D,3.5,15 (max),35.0,April 2026,DPS — AoE fire,Area explosion on hit; good vs grouped enemies,Low base damage; falls off quickly in mid-late game,Early game utility only.,In Progress,AI Research,2026-04-06
fire_mage,Fire Mage,Unit,NONE (no talents),"LOW-LEVEL estimate (no talents, level 7-9). Ceiling tier (D) = max level.",D,3,7-9 (no talents),35.0,April 2026,DPS — AoE fire — pre-talent,Same base mechanics but no talent bonuses,All talent-dependent strengths unavailable,Floor estimate for win prediction when unit has no talent icon visible. Early game utility only.,In Progress,AI Research,2026-04-06
cold_mage,Cold Mage,Unit,ALL (max level),MAX-LEVEL tier. Floor tier (D) = low-level estimate.,D,3.2,15 (max),35.0,April 2026,CC — slow,Reliable slow; good synergy with Inquisitor; accessible early,Max 50% slow cap; outclassed by Frost in CC role,Early CC option. Outclassed but remains budget pick.,In Progress,AI Research,2026-04-06
cold_mage,Cold Mage,Unit,NONE (no talents),"LOW-LEVEL estimate (no talents, level 7-9). Ceiling tier (D) = max level.",D,2.8,7-9 (no talents),35.0,April 2026,CC — slow — pre-talent,Same base mechanics but no talent bonuses,All talent-dependent strengths unavailable,Floor estimate for win prediction when unit has no talent icon visible. Early CC option. Outclassed but remains budget pick.,In Progress,AI Research,2026-04-06
lightning_mage,Lightning Mage,Unit,ALL (max level),MAX-LEVEL tier. Floor tier (D) = low-level estimate.,D,3.2,15 (max),35.0,April 2026,DPS — chain lightning,Chain hits multiple targets; accessible,Outclassed by Tesla at higher levels,Basic early-game unit.,In Progress,AI Research,2026-04-06
lightning_mage,Lightning Mage,Unit,NONE (no talents),"LOW-LEVEL estimate (no talents, level 7-9). Ceiling tier (D) = max level.",D,3,7-9 (no talents),35.0,April 2026,DPS — chain lightning — pre-talent,Same base mechanics but no talent bonuses,All talent-dependent strengths unavailable,Floor estimate for win prediction when unit has no talent icon visible. Basic early-game unit.,In Progress,AI Research,2026-04-06
thrower,Thrower,Unit,ALL (max level),MAX-LEVEL tier. Floor tier (D) = low-level estimate.,D,3,15 (max),35.0,April 2026,DPS — random target,Can hit backline targets randomly,Low damage; no reliable targeting,Early game only.,In Progress,AI Research,2026-04-06
thrower,Thrower,Unit,NONE (no talents),"LOW-LEVEL estimate (no talents, level 7-9). Ceiling tier (D) = max level.",D,2.8,7-9 (no talents),35.0,April 2026,DPS — random target — pre-talent,Same base mechanics but no talent bonuses,All talent-dependent strengths unavailable,Floor estimate for win prediction when unit has no talent icon visible. Early game only.,In Progress,AI Research,2026-04-06
poisoner,Poisoner,Unit,ALL (max level),MAX-LEVEL tier. Floor tier (D) = low-level estimate.,D,3,15 (max),35.0,April 2026,CC — poison DoT,Stacking venom damage,Very slow ramp; outclassed by better venom options,Starter unit. Replace quickly.,In Progress,AI Research,2026-04-06
poisoner,Poisoner,Unit,NONE (no talents),"LOW-LEVEL estimate (no talents, level 7-9). Ceiling tier (D) = max level.",D,2.8,7-9 (no talents),35.0,April 2026,CC — poison DoT — pre-talent,Same base mechanics but no talent bonuses,All talent-dependent strengths unavailable,Floor estimate for win prediction when unit has no talent icon visible. Starter unit. Replace quickly.,In Progress,AI Research,2026-04-06
priestess,Priestess,Unit,ALL (max level),MAX-LEVEL tier. Floor tier (D) = low-level estimate.,D,3.2,15 (max),35.0,April 2026,Mana generation,Generates mana; synergy with mana-hungry decks,Outclassed by Vampire at most levels; no damage output,Budget mana generator. Use until Vampire is available.,In Progress,AI Research,2026-04-06
priestess,Priestess,Unit,NONE (no talents),"LOW-LEVEL estimate (no talents, level 7-9). Ceiling tier (D) = max level.",D,3,7-9 (no talents),35.0,April 2026,Mana generation — pre-talent,Same base mechanics but no talent bonuses,All talent-dependent strengths unavailable,Floor estimate for win prediction when unit has no talent icon visible. Budget mana generator. Use until Vampire is available.,In Progress,AI Research,2026-04-06
magic_cauldron,Magic Cauldron,Unit,ALL (max level),MAX-LEVEL tier. Floor tier (D) = low-level estimate.,D,3,15 (max),35.0,April 2026,Mana generation,Generates mana passively,Can flood board; outclassed by Vampire,D-tier mana generator. Risky to run.,In Progress,AI Research,2026-04-06
magic_cauldron,Magic Cauldron,Unit,NONE (no talents),"LOW-LEVEL estimate (no talents, level 7-9). Ceiling tier (D) = max level.",D,2.8,7-9 (no talents),35.0,April 2026,Mana generation — pre-talent,Same base mechanics but no talent bonuses,All talent-dependent strengths unavailable,Floor estimate for win prediction when unit has no talent icon visible. D-tier mana generator. Risky to run.,In Progress,AI Research,2026-04-06
clock_of_power,Clock of Power,Unit,ALL (max level),MAX-LEVEL tier. Floor tier (D) = low-level estimate.,D,3,15 (max),35.0,April 2026,PvP support — attack speed reduction,Passively reduces opponent attack speed; niche PvP use,Minimal impact; easily replaced by better disruptors,Situational at best.,In Progress,AI Research,2026-04-06
clock_of_power,Clock of Power,Unit,NONE (no talents),"LOW-LEVEL estimate (no talents, level 7-9). Ceiling tier (D) = max level.",D,2.8,7-9 (no talents),35.0,April 2026,PvP support — attack speed reduction — pre-talent,Same base mechanics but no talent bonuses,All talent-dependent strengths unavailable,Floor estimate for win prediction when unit has no talent icon visible. Situational at best.,In Progress,AI Research,2026-04-06
stasis,Stasis,Unit,ALL (max level),MAX-LEVEL tier. Floor tier (D) = low-level estimate.,D,3.5,15 (max),35.0,April 2026,CC — freeze traps,Traps completely stop monsters temporarily; no overlap with other CC,Traps are static and predictable; boss immunity reduces value,Niche CC. Better options exist in most builds.,In Progress,AI Research,2026-04-06
stasis,Stasis,Unit,NONE (no talents),"LOW-LEVEL estimate (no talents, level 7-9). Ceiling tier (D) = max level.",D,3,7-9 (no talents),35.0,April 2026,CC — freeze traps — pre-talent,Same base mechanics but no talent bonuses,All talent-dependent strengths unavailable,Floor estimate for win prediction when unit has no talent icon visible. Niche CC. Better options exist in most builds.,In Progress,AI Research,2026-04-06
vampire,Vampire,Unit,ALL (max level),MAX-LEVEL tier. Floor tier (D) = low-level estimate.,D,3.5,15 (max),35.0,April 2026,Mana generation,Mana generation scales well; has attack; synergy with Cold Mage for bite speed,Outclassed as primary mana generator by Summoner in many builds,Used to be essential. Still functional budget pick for mana.,In Progress,AI Research,2026-04-06
vampire,Vampire,Unit,NONE (no talents),"LOW-LEVEL estimate (no talents, level 7-9). Ceiling tier (D) = max level.",D,3,7-9 (no talents),35.0,April 2026,Mana generation — pre-talent,Same base mechanics but no talent bonuses,All talent-dependent strengths unavailable,Floor estimate for win prediction when unit has no talent icon visible. Used to be essential. Still functional budget pick for mana.,In Progress,AI Research,2026-04-06
sentry,Sentry,Unit,ALL (max level),MAX-LEVEL tier. Floor tier (D) = low-level estimate.,D,3,15 (max),35.0,April 2026,DPS — gradual scaling,Damage scales over time while unmoved,Resets on merge; slow ramp; outclassed,Novelty unit. Not competitive.,In Progress,AI Research,2026-04-06
sentry,Sentry,Unit,NONE (no talents),"LOW-LEVEL estimate (no talents, level 7-9). Ceiling tier (D) = max level.",D,2.8,7-9 (no talents),35.0,April 2026,DPS — gradual scaling — pre-talent,Same base mechanics but no talent bonuses,All talent-dependent strengths unavailable,Floor estimate for win prediction when unit has no talent icon visible. Novelty unit. Not competitive.,In Progress,AI Research,2026-04-06
catapult,Catapult,Unit,ALL (max level),MAX-LEVEL tier. Floor tier (D) = low-level estimate.,D,3.5,15 (max),35.0,April 2026,DPS/CC — stun + AoE,Stuns and deals AoE damage; good early,9-second re-stun cooldown per target; low damage late game,"Good early option, falls off.",In Progress,AI Research,2026-04-06
catapult,Catapult,Unit,NONE (no talents),"LOW-LEVEL estimate (no talents, level 7-9). Ceiling tier (D) = max level.",D,3,7-9 (no talents),35.0,April 2026,DPS/CC — stun + AoE — pre-talent,Same base mechanics but no talent bonuses,All talent-dependent strengths unavailable,"Floor estimate for win prediction when unit has no talent icon visible. Good early option, falls off.",In Progress,AI Research,2026-04-06
hunter,Hunter,Unit,ALL (max level),MAX-LEVEL tier. Floor tier (D) = low-level estimate.,D,3,15 (max),35.0,April 2026,DPS — first-shot bonus,First hit bonus damage on each new target,Very low base damage; no scaling advantage,D-tier basic unit.,In Progress,AI Research,2026-04-06
hunter,Hunter,Unit,NONE (no talents),"LOW-LEVEL estimate (no talents, level 7-9). Ceiling tier (D) = max level.",D,2.8,7-9 (no talents),35.0,April 2026,DPS — first-shot bonus — pre-talent,Same base mechanics but no talent bonuses,All talent-dependent strengths unavailable,Floor estimate for win prediction when unit has no talent icon visible. D-tier basic unit.,In Progress,AI Research,2026-04-06
sharpshooter,Sharpshooter,Unit,ALL (max level),MAX-LEVEL tier. Floor tier (D) = low-level estimate.,D,3.5,15 (max),35.0,April 2026,DPS — max-health percentage,Deals % of max health — scales vs high-health targets and bosses,Low flat damage vs low-health targets; inconsistent,Situationally useful vs bosses. Generally D-tier.,In Progress,AI Research,2026-04-06
sharpshooter,Sharpshooter,Unit,NONE (no talents),"LOW-LEVEL estimate (no talents, level 7-9). Ceiling tier (D) = max level.",D,3.2,7-9 (no talents),35.0,April 2026,DPS — max-health percentage — pre-talent,Same base mechanics but no talent bonuses,All talent-dependent strengths unavailable,Floor estimate for win prediction when unit has no talent icon visible. Situationally useful vs bosses. Generally D-tier.,In Progress,AI Research,2026-04-06
ice_mage,Ice Mage,Unit,ALL (max level),MAX-LEVEL tier. Floor tier (D) = low-level estimate.,D,3.2,15 (max),35.0,April 2026,CC/DPS — slow + damage,AoE slow; more damage than Cold Mage,Outclassed by Frost at legendary level,Mid-tier CC for budget builds.,In Progress,AI Research,2026-04-06
ice_mage,Ice Mage,Unit,NONE (no talents),"LOW-LEVEL estimate (no talents, level 7-9). Ceiling tier (D) = max level.",D,3,7-9 (no talents),35.0,April 2026,CC/DPS — slow + damage — pre-talent,Same base mechanics but no talent bonuses,All talent-dependent strengths unavailable,Floor estimate for win prediction when unit has no talent icon visible. Mid-tier CC for budget builds.,In Progress,AI Research,2026-04-06
alchemist,Alchemist,Unit,ALL (max level),MAX-LEVEL tier. Floor tier (D) = low-level estimate.,D,3,15 (max),35.0,April 2026,DPS — acid puddles,AoE puddle damage; mana-scalable,Unreliable placement; low damage at most levels,D-tier. Novelty mechanic but low impact.,In Progress,AI Research,2026-04-06
alchemist,Alchemist,Unit,NONE (no talents),"LOW-LEVEL estimate (no talents, level 7-9). Ceiling tier (D) = max level.",D,2.8,7-9 (no talents),35.0,April 2026,DPS — acid puddles — pre-talent,Same base mechanics but no talent bonuses,All talent-dependent strengths unavailable,Floor estimate for win prediction when unit has no talent icon visible. D-tier. Novelty mechanic but low impact.,In Progress,AI Research,2026-04-06
thunderer,Thunderer,Unit,ALL (max level),MAX-LEVEL tier. Floor tier (D) = low-level estimate.,D,3.5,15 (max),35.0,April 2026,DPS — lightning strike,Strong mana-scaling lightning bonus; AoE daze,Base attack is weak without lightning procs; needs mana investment,D-tier in current meta despite lightning potential. Outclassed by modern carries.,In Progress,AI Research,2026-04-06
thunderer,Thunderer,Unit,NONE (no talents),"LOW-LEVEL estimate (no talents, level 7-9). Ceiling tier (D) = max level.",D,3,7-9 (no talents),35.0,April 2026,DPS — lightning strike — pre-talent,Same base mechanics but no talent bonuses,All talent-dependent strengths unavailable,Floor estimate for win prediction when unit has no talent icon visible. D-tier in current meta despite lightning potential. Outclassed by modern carries.,In Progress,AI Research,2026-04-06
pyrotechnic,Pyrotechnic,Unit,ALL (max level),MAX-LEVEL tier. Floor tier (D) = low-level estimate.,D,3.5,15 (max),35.0,April 2026,DPS — isolation carry,Very high damage when isolated; Portal Keeper synergy,Extremely fragile setup — loses entire bonus if any other damage dealer on board,Niche isolation carry. D-tier without perfect setup.,In Progress,AI Research,2026-04-06
pyrotechnic,Pyrotechnic,Unit,NONE (no talents),"LOW-LEVEL estimate (no talents, level 7-9). Ceiling tier (D) = max level.",D,3,7-9 (no talents),35.0,April 2026,DPS — isolation carry — pre-talent,Same base mechanics but no talent bonuses,All talent-dependent strengths unavailable,Floor estimate for win prediction when unit has no talent icon visible. Niche isolation carry. D-tier without perfect setup.,In Progress,AI Research,2026-04-06
wind_archer,Wind Archer,Unit,ALL (max level),MAX-LEVEL tier. Floor tier (D) = low-level estimate.,D,3,15 (max),35.0,April 2026,DPS — AoE sweep,Hits multiple targets per shot; good early,Low individual target damage; outclassed quickly,D-tier. Basic AoE option.,In Progress,AI Research,2026-04-06
wind_archer,Wind Archer,Unit,NONE (no talents),"LOW-LEVEL estimate (no talents, level 7-9). Ceiling tier (D) = max level.",D,2.8,7-9 (no talents),35.0,April 2026,DPS — AoE sweep — pre-talent,Same base mechanics but no talent bonuses,All talent-dependent strengths unavailable,Floor estimate for win prediction when unit has no talent icon visible. D-tier. Basic AoE option.,In Progress,AI Research,2026-04-06
rogue,Rogue,Unit,ALL (max level),MAX-LEVEL tier. Floor tier (D) = low-level estimate.,D,3.2,15 (max),35.0,April 2026,DPS — random bonus damage,Random bonus scales with player crit stat,Unreliable damage; no special mechanics,D-tier basic unit.,In Progress,AI Research,2026-04-06
rogue,Rogue,Unit,NONE (no talents),"LOW-LEVEL estimate (no talents, level 7-9). Ceiling tier (D) = max level.",D,3,7-9 (no talents),35.0,April 2026,DPS — random bonus damage — pre-talent,Same base mechanics but no talent bonuses,All talent-dependent strengths unavailable,Floor estimate for win prediction when unit has no talent icon visible. D-tier basic unit.,In Progress,AI Research,2026-04-06
grindstone,Grindstone,Unit,ALL (max level),MAX-LEVEL tier. Floor tier (D) = low-level estimate.,D,3,15 (max),35.0,April 2026,Support — crit chance,Passively buffs crit chance of adjacent units; synergy with Thunderer,Can flood board; passive only; no damage,Support niche. Useful with Inquisitor stacking. Generally D-tier.,In Progress,AI Research,2026-04-06
grindstone,Grindstone,Unit,NONE (no talents),"LOW-LEVEL estimate (no talents, level 7-9). Ceiling tier (D) = max level.",D,3,7-9 (no talents),35.0,April 2026,Support — crit chance — pre-talent,Same base mechanics but no talent bonuses,All talent-dependent strengths unavailable,Floor estimate for win prediction when unit has no talent icon visible. Support niche. Useful with Inquisitor stacking. Generally D-tier.,In Progress,AI Research,2026-04-06
banner,Banner,Unit,ALL (max level),MAX-LEVEL tier. Floor tier (D) = low-level estimate.,D,2.8,15 (max),35.0,April 2026,Support — attack speed buff,Buffs adjacent unit attack speed,Passive only; can flood board dangerously; only highest-rank applies,"D-tier. Useful early, dangerous late due to board flooding risk.",In Progress,AI Research,2026-04-06
banner,Banner,Unit,NONE (no talents),"LOW-LEVEL estimate (no talents, level 7-9). Ceiling tier (D) = max level.",D,2.8,7-9 (no talents),35.0,April 2026,Support — attack speed buff — pre-talent,Same base mechanics but no talent bonuses,All talent-dependent strengths unavailable,"Floor estimate for win prediction when unit has no talent icon visible. D-tier. Useful early, dangerous late due to board flooding risk.",In Progress,AI Research,2026-04-06
mime,Mime,Unit,ALL (max level),MAX-LEVEL tier. Floor tier (D) = low-level estimate.,D,3,15 (max),35.0,April 2026,Utility — flexible merger,Can merge with any unit of same rank; good board cleaner,No damage or direct buff; purely utility,"D-tier direct, but enables strategies. Value depends entirely on deck context.",In Progress,AI Research,2026-04-06
mime,Mime,Unit,NONE (no talents),"LOW-LEVEL estimate (no talents, level 7-9). Ceiling tier (D) = max level.",D,3,7-9 (no talents),35.0,April 2026,Utility — flexible merger — pre-talent,Same base mechanics but no talent bonuses,All talent-dependent strengths unavailable,"Floor estimate for win prediction when unit has no talent icon visible. D-tier direct, but enables strategies. Value depends entirely on deck context.",In Progress,AI Research,2026-04-06
shaman,Shaman,Unit,ALL (max level),MAX-LEVEL tier. Floor tier (D) = low-level estimate.,D,3.5,15 (max),35.0,April 2026,CC — rank manipulation,PvP: reduces opponent unit rank; Co-Op: increases ally rank,Completely different and opposing use in PvP vs Co-Op,"Niche PvP disruptor. Strong in specific metas, generally D-tier.",In Progress,AI Research,2026-04-06
shaman,Shaman,Unit,NONE (no talents),"LOW-LEVEL estimate (no talents, level 7-9). Ceiling tier (D) = max level.",D,3,7-9 (no talents),35.0,April 2026,CC — rank manipulation — pre-talent,Same base mechanics but no talent bonuses,All talent-dependent strengths unavailable,"Floor estimate for win prediction when unit has no talent icon visible. Niche PvP disruptor. Strong in specific metas, generally D-tier.",In Progress,AI Research,2026-04-06
kobold,Kobold,Unit,ALL (max level),MAX-LEVEL tier. Floor tier (D) = low-level estimate.,B,6,15 (max),35.0,April 2026,Event/limited DPS legendary,Limited event unit — mechanics require in-game verification,Verify current availability and talent status,⚠️ VERIFY: Event/limited unit. Tier estimate based on account listings showing it at same level as A-tier units.,Needs Review,AI Research,2026-04-06
kobold,Kobold,Unit,NONE (no talents),"LOW-LEVEL estimate (no talents, level 7-9). Ceiling tier (B) = max level.",D,2.5,7-9 (no talents),35.0,April 2026,Event/limited DPS legendary — pre-talent,Same base mechanics but no talent bonuses,All talent-dependent strengths unavailable,Floor estimate for win prediction when unit has no talent icon visible. ⚠️ VERIFY: Event/limited unit. Tier estimate based on account listings showing it at same level as A-tier units.,Needs Review,AI Research,2026-04-06
twilight_ranger,Twilight Ranger,Unit,ALL (max level),MAX-LEVEL tier. Floor tier (D) = low-level estimate.,B,5.8,15 (max),35.0,April 2026,Event/limited DPS legendary,Limited event unit — mechanics require in-game verification,Verify current availability and talent status,⚠️ VERIFY: Event/limited unit. Appears in high-level account listings alongside strong legendaries.,Needs Review,AI Research,2026-04-06
twilight_ranger,Twilight Ranger,Unit,NONE (no talents),"LOW-LEVEL estimate (no talents, level 7-9). Ceiling tier (B) = max level.",D,2.5,7-9 (no talents),35.0,April 2026,Event/limited DPS legendary — pre-talent,Same base mechanics but no talent bonuses,All talent-dependent strengths unavailable,Floor estimate for win prediction when unit has no talent icon visible. ⚠️ VERIFY: Event/limited unit. Appears in high-level account listings alongside strong legendaries.,Needs Review,AI Research,2026-04-06
twins,Twins,Unit,ALL (max level),MAX-LEVEL tier. Floor tier (D) = low-level estimate.,B,5.5,15 (max),35.0,April 2026,Event/limited legendary,Limited event unit — mechanics require in-game verification,"Verify current availability, rarity and talent status",⚠️ VERIFY: Event/limited unit. Rarity and current mechanics unconfirmed.,Needs Review,AI Research,2026-04-06
twins,Twins,Unit,NONE (no talents),"LOW-LEVEL estimate (no talents, level 7-9). Ceiling tier (B) = max level.",D,2.5,7-9 (no talents),35.0,April 2026,Event/limited legendary — pre-talent,Same base mechanics but no talent bonuses,All talent-dependent strengths unavailable,Floor estimate for win prediction when unit has no talent icon visible. ⚠️ VERIFY: Event/limited unit. Rarity and current mechanics unconfirmed.,Needs Review,AI Research,2026-04-06
phoenix,Phoenix,Unit,ALL (max level),MAX-LEVEL tier. Floor tier (D) = low-level estimate.,A,7,15 (max),35.0,April 2026,DPS legendary — resurrection mechanic; reincarnation,Has reincarnation; appears in high-level accounts alongside S-tier units,In-game spelling and full mechanics require verification,⚠️ VERIFY: Appears in account listings alongside Reincarnation Bard and Summoner. Likely A-tier at max.,Needs Review,AI Research,2026-04-06
phoenix,Phoenix,Unit,NONE (no talents),"LOW-LEVEL estimate (no talents, level 7-9). Ceiling tier (A) = max level.",D,2.5,7-9 (no talents),35.0,April 2026,DPS legendary — resurrection mechanic; reincarnation — pre-talent,Same base mechanics but no talent bonuses,All talent-dependent strengths unavailable,Floor estimate for win prediction when unit has no talent icon visible. ⚠️ VERIFY: Appears in account listings alongside Reincarnation Bard and Summoner. Likely A-tier at max.,Needs Review,AI Research,2026-04-06
executioner,Executioner,Unit,ALL (max level),MAX-LEVEL tier. Floor tier (D) = low-level estimate.,C,4.5,15 (max),35.0,April 2026,DPS — finishing blow,Powerful vs low-health targets,Situational; limited effectiveness vs full-health targets,C-tier. Niche use.,In Progress,AI Research,2026-04-06
executioner,Executioner,Unit,NONE (no talents),"LOW-LEVEL estimate (no talents, level 7-9). Ceiling tier (C) = max level.",D,2.5,7-9 (no talents),35.0,April 2026,DPS — finishing blow — pre-talent,Same base mechanics but no talent bonuses,All talent-dependent strengths unavailable,Floor estimate for win prediction when unit has no talent icon visible. C-tier. Niche use.,In Progress,AI Research,2026-04-06
cold_elemental,Cold Elemental,Unit,ALL (max level),MAX-LEVEL tier. Floor tier (D) = low-level estimate.,C,4.2,15 (max),35.0,April 2026,CC/DPS — chill + burst,Combined slow and damage; frost burst AoE,Outclassed by Frost in dedicated CC role,C-tier. Useful in budget CC builds.,In Progress,AI Research,2026-04-06
cold_elemental,Cold Elemental,Unit,NONE (no talents),"LOW-LEVEL estimate (no talents, level 7-9). Ceiling tier (C) = max level.",D,2.5,7-9 (no talents),35.0,April 2026,CC/DPS — chill + burst — pre-talent,Same base mechanics but no talent bonuses,All talent-dependent strengths unavailable,Floor estimate for win prediction when unit has no talent icon visible. C-tier. Useful in budget CC builds.,In Progress,AI Research,2026-04-06
clown,Clown,Unit,ALL (max level),MAX-LEVEL tier. Floor tier (D) = low-level estimate.,C,4,15 (max),35.0,April 2026,Utility — unpredictable effects,Unique random effects; may provide clutch buffs/debuffs,Unreliable by nature; hard to build around,⚠️ VERIFY: Mechanics require in-game confirmation.,Needs Review,AI Research,2026-04-06
clown,Clown,Unit,NONE (no talents),"LOW-LEVEL estimate (no talents, level 7-9). Ceiling tier (C) = max level.",D,2,7-9 (no talents),35.0,April 2026,Utility — unpredictable effects — pre-talent,Same base mechanics but no talent bonuses,All talent-dependent strengths unavailable,Floor estimate for win prediction when unit has no talent icon visible. ⚠️ VERIFY: Mechanics require in-game confirmation.,Needs Review,AI Research,2026-04-06
portal_keeper,Portal Keeper,Unit,ALL (max level),MAX-LEVEL tier. Floor tier (B) = low-level estimate.,B,6,15 (max),35.0,April 2026,Utility — positioning teleport,Enables isolation strategies; critical for Pyrotechnic decks; consistent value,Needs a unit that benefits from isolation; less valuable otherwise,"B-tier in most decks. A-tier or higher in isolation-dependent builds (Pyrotechnic, Blade Dancer).",In Progress,AI Research,2026-04-06
portal_keeper,Portal Keeper,Unit,NONE (no talents),"LOW-LEVEL estimate (no talents, level 7-9). Ceiling tier (B) = max level.",B,6,7-9 (no talents),35.0,April 2026,Utility — positioning teleport — pre-talent,Same base mechanics but no talent bonuses,All talent-dependent strengths unavailable,"Floor estimate for win prediction when unit has no talent icon visible. B-tier in most decks. A-tier or higher in isolation-dependent builds (Pyrotechnic, Blade Dancer).",In Progress,AI Research,2026-04-06
corsair,Corsair,Unit,ALL (max level),MAX-LEVEL tier. Floor tier (C) = low-level estimate.,B,5.5,15 (max),35.0,April 2026,DPS — bomb throwing,Area damage from bombs; consistent pressure; improved in patches,Requires time for bombs to activate; less effective vs fast-moving bosses,B-tier. Improved significantly since launch with shorter bomb interval.,In Progress,AI Research,2026-04-06
